Sofia Bonfiglio,14495655,56.27
Ashlee Capellan,14224671,8.67
Dona Mcinnes,14707100,8.62
Maricela Landreneau,14644633,31.49
Elinor Raco,14147356,61.47
Cody Mcmartin,14393910,87.94
Katy Vacek,14799737,25.98
Mathew Mercedes,14431660,39.59
Karina Rossin,14541837,23.42
Mathew Milian,14593654,21.94
Christian Mullarkey,14492026,82.84
Esmeralda Radovich,14397374,25.13
Nelson Tooker,14824429,73.78
Neil Brabant,14929292,4.45
Clinton Blumer,14786148,42.8
Julio Degroat,14973358,73.33
Elinor Greig,14557200,9.18
Malinda Dodgen,14472268,27.17
Mathew Eslick,14359796,35.59
Christian Durall,14770506,99.58
Max Plain,14354152,57.39
Earnestine Croswell,14338567,75.05
Clayton Ricard,14277290,78.05
Ted Tallmadge,14476919,13.18
Kelly Cheatam,14032266,41.14
Jessie Leandro,14094113,69.96
Guy Kadel,14490422,48.77
Althea Warring,14650254,77.81
Tania Mogensen,14355490,66.81
Ted Makuch,14478629,43.82
Katy Callier,14827960,32.48
Jamie Seager,14607868,15.96
Guy Loredo,14080040,50.44
Dollie Dignan,14286103,20.09
Jessie Mayville,14030930,70.33
Christian Busbee,14973623,72.34
Jamie Shake,14158835,91.96
Edwina Esters,14129722,1.73
Harriett Zollinger,14207712,3.52
Nannie Mcgown,14151577,96.67
Dollie Dodrill,14848322,27.38
Kenya Seidman,14578980,66.85
Darren Southwood,14376057,19.39
Loraine Kimberly,14470284,30.39
Carmella Rondon,14871167,83.56
Selena Hoose,14946549,66.85
Fernando Mccardell,14266401,46.34
Lenore Decola,14535046,99.57
Lance Buono,14894734,6.75
Elnora Aberle,14396821,33.9
Nelson Valderrama,14389585,53.5
Gay Ascencio,14322126,38.18
Carmella Calandra,14807822,69.2
Emilia Ruddell,14831903,29.75
Carmella Sheffey,14332889,9.47
Guy Snipe,14517817,25.22
Darryl Triche,14689874,60.46
Katy Tressler,14460767,41.66
Jessie Dosch,14406596,36.46
Rae Furby,14386030,89.18
Christian Klemm,14415969,99.71
Pearlie Bernat,14442184,4.24
Sofia Parente,14900369,73.07
Javier Kratochvil,14737772,81.35
Clinton Fehrenbach,14866391,39.31
Chandra Trowell,14033833,66.55
Lance Goodpaster,14489267,85.31
Amie Delcambre,14304433,34.08
Harriett Curatolo,14043005,38.81
Edwina Fedor,14566657,41.22
Guy Vanalstyne,14354279,65.73
Sofia Kelling,14585058,30.39
Jamie Upson,14068001,33.72
Max Levario,14052132,23.4
Allie Ulland,14203027,33.96
Javier Swint,14141881,5.37
Kathrine Lainez,14620568,15.77
Ted Enlow,14809440,93.05
Dollie Westbury,14724624,78.06
Tyrone Sturman,14739612,98.81
Earnestine Maddock,14941285,95.67
Hillary Jun,14566983,50.6
Tyrone Seevers,14554972,30.06
Darren Hadaway,14588845,16.59
Cody Russom,14259628,2.97
Hillary Tall,14013965,12.55
Jerri Mayr,14360212,16.73
Sharron Cournoyer,14853316,56.23
Melisa Mckeel,14628872,44.59
Tabatha Walworth,14359807,49.02
Max Madamba,14872168,38.95
Guy Fagundes,14768484,68.89
Erik Deady,14488384,16.11
Pearlie Storie,14633584,21.31
Clayton Salls,14638875,23.19
Max Heffelfinger,14601152,69.94
Penelope Gayman,14127847,66.94
Liza Guyette,14801256,49.49
Christian Verde,14341704,14.24
Tanisha Coppin,14082998,42.06
Carmella Vanwagenen,14337161,42.94
Marylou Macdowell,14470787,99.55
Fernando Regina,14814846,89.99
Margery Erving,14818568,47.26
Noemi Marcucci,14372440,80.43
Louisa Morreale,14948354,46.49
Annabelle Hilson,14995816,39.68
Sofia Debolt,14119980,95.06
Saundra Gow,14539190,89.11
Cody Basta,14598144,96.64
Javier Mungia,14586406,36.24
Charles Babich,14308442,85.45
Javier Richins,14424525,8.96
Tyrone Campanelli,14471900,71.54
Loraine Hymer,14745423,63.42
Nita Sandor,14007834,66.5
Loraine Montford,14149048,91.32
Erik Cadiz,14014366,15.46
Darryl Treloar,14303361,13.69
Odessa Joynes,14520070,61.5
Guy Cullinan,14814542,29.29
Max Dimond,14826258,62.38
Clinton Velardo,14886981,51.06
Marylou Weingart,14251013,64.44
Kurt Porche,14408916,72.71
Kelly Avans,14174333,81.52
Javier Crichton,14338932,71.16
Maricela Dizon,14857567,1.37
Jamie Klump,14381526,58.17
Hugh Shew,14177569,97.77
Liza Borchers,14119826,16.13
Ted Yetman,14020526,90.99
Loraine Bake,14792654,43.87
Tanisha Gamino,14866901,31.74
Emilia Erikson,14050060,71.74
Gay Schlicher,14852484,93.01
Allan Hornbuckle,14452041,71.86
Allyson Yocom,14703550,48.44
Julio Rickards,14777117,47.76
Nelson Pon,14274398,12.51
Jamie Sing,14070543,99.11
Esmeralda Hopton,14011335,9.53
Roxie Underdahl,14528677,35.79
Selena Lenart,14350128,66.89
Darcy Butkovich,14813572,42.2
Lilia Mister,14301450,79.12
Louisa Cianciolo,14752762,15.71
Kurt Gayler,14084797,37.43
Nelson Weldy,14007241,46.36
Pearlie Willams,14324296,96.58
Lance Rein,14126599,43.31
Kathrine Farrel,14535650,93.82
Sofia Cambridge,14832646,41.98
Earnestine Simo,14629783,54.29
Kurt Kluth,14314285,58.11
Lonnie Kitzmiller,14806346,87.3
Tyrone Letchworth,14337427,75.19
Nannie Ottesen,14077167,66.32
Lance Sandell,14073015,17.2
Nannie Roehrig,14290115,25.87
Kurt Prowse,14427922,98.93
Erik Weinman,14836487,25.81
Javier Verdi,14346031,39.64
Kurt Bridgett,14581139,81.95
Elinor Buff,14576106,85.37
Earlene Mcelvain,14146396,89.34
Alana Kube,14970225,94.86
Fernando Sobers,14786625,21.95
Kelly Silliman,14657678,35.66
Zelma Mcclay,14266749,94.78
Ted Gantz,14953543,18.27
Kelly Smail,14961066,23.21
Tameka Newbury,14837347,40.41
Tania Agbayani,14793417,94.53
Javier Hausman,14361746,77.71
Chandra Isenhour,14914741,15.19
Pearlie Schack,14877848,87.66
Darren Pedrosa,14556149,73.19
Clinton Chacko,14147180,67.38
Guy Winders,14668230,91.24
Noreen Smyre,14895071,57.8
Nelson Guitierrez,14701649,80.99
Jessie Landen,14103000,77.06
