Margie Winchester,14000027,37.77
Patsy Engle,14000053,99.01
Phyllis Lerner,14000310,78.5
Rosie Schmid,14000436,35.28
Abel Carros,14000688,6.01
Robyn Olin,14000704,58.68
Sean Carrico,14001023,78.8
Ann Matherne,14001091,39.62
Marvin Marcano,14001123,57.75
Allison Westerman,14001143,59.2
Heather Patten,14001309,2.53
Antonio Leger,14001445,67.99
Michael Beaird,14001455,33.85
Lola Luce,14001799,9.25
Gertude Menear,14001874,36.39
Jan Risso,14002069,10.62
Clarence Batchelder,14002131,84.79
Martin Peden,14002140,11.72
Emerita Schildknecht,14002449,96.08
Jose Stanley,14002458,62.87
Shantel Kellis,14002497,42.31
Reuben Wah,14002806,20.85
Basilia Plikerd,14002910,4.67
Keith Nix,14002953,9.58
Jeffrey Mciver,14003363,52.26
Lawrence Peabody,14003480,98.21
Erica Mahoney,14003536,91.8
Aurore Vecchia,14003581,18.17
Hans Wineberg,14003708,27.19
Kathryn Mcnamee,14003730,48.33
Erma Cash,14003878,99.31
Elfrieda Moncus,14003953,26.65
Miriam Nunnally,14004422,13.88
Erminia Storjohann,14004594,9.8
Joanna Louque,14004721,16.05
Phillip Witherspoon,14005008,76.53
Steven Gilliland,14005049,79.21
Juliane Scavone,14005084,52.87
Jimmy Doak,14005155,83.93
Alan Clausen,14005263,93.07
Andrew Olszewski,14005400,44.74
Sheila Tapp,14005674,19.36
Glenn Straight,14005699,56.59
Nenita Zera,14005835,76.18
Cindy Penney,14005968,86.87
Tonya Niemi,14006134,3.86
Tayna Hlavac,14006354,50.63
Hans Keefauver,14006381,99.78
Chris Franks,14006824,72.78
Josh Lofties,14007049,38.98
Antony Regalbuto,14007223,69.45
Nelson Weldy,14007241,46.36
Thomas Boring,14007244,53.64
Eugene Frisby,14007263,68.46
Lawrence Ziegler,14007318,31.5
Rose Sapp,14007381,23.99
Samuel Felton,14007640,75.56
Raymond Eckman,14007746,71.18
Felipa Cadice,14007793,61.16
Nita Sandor,14007834,66.5
Chad Shoup,14007882,20.27
Adrienne Lasley,14007888,34.04
Miriam Salcido,14008380,89.72
Billy Houghton,14008591,44.85
Nicholas Bisson,14008934,37.1
Geraldine Werner,14009079,20.16
Leopoldo Friedler,14009191,31.51
Marlen Willadsen,14009300,2.18
Gilberto Barnicle,14009368,97.2
Elwood Cardenal,14009450,11.18
Latricia Cummiskey,14009476,90.65
Clorinda Jerdon,14009771,35.07
Giovanni Hammatt,14009992,80.53
Raymond Gause,14010011,2.78
Sean Plank,14010090,98.48
Henry Peeples,14010531,10.04
Jerry Bush,14010765,79.03
Aaron Treece,14010884,2.36
Hans Ackerly,14011087,23.25
Robert Harbour,14011224,76.08
Blaine Arbizo,14011264,69.06
Esmeralda Hopton,14011335,9.53
Katrina Hollifield,14011525,15.08
Jose Hardesty,14011613,99.16
Leah Purser,14011684,76.16
Sacha Brazle,14011695,54.54
Michele Caudill,14011738,45.75
Darcey Harouff,14011757,11.62
Francoise Oursler,14011874,18.48
Christa Arvizo,14011912,32.96
Beatrice Dalrymple,14012437,88.32
Hazel Hudgens,14013103,5.09
Dennis Duong,14013135,26.98
Benjamin Beaver,14013260,66.74
Norman Oubre,14013484,44.66
Kristopher Marquard,14013488,60.82
Craig Allman,14013563,25.18
Glen Hickel,14013606,85.39
Alesia Steinour,14013806,11.78
Hillary Tall,14013965,12.55
Jamaal Botellio,14014161,75.13
Roma Beshara,14014318,57.42
Erik Cadiz,14014366,15.46
Joaquina Fasula,14014400,26.66
Jose Cloyd,14014456,18.79
Abel Biegel,14014826,63.97
Noemi Yother,14015159,98.32
Curtis Cordell,14015277,43.23
Tomika Ealley,14015279,51.48
Pamila Loncaric,14015370,81.86
Brandon Saari,14015550,89.26
Roxanne Turnage,14015896,65.55
Jame Boote,14016014,52.32
Melissa Lundgren,14016218,53.12
Sonya Shumate,14016276,30.73
Sandra Feder,14016334,75.45
Cleveland Fraile,14016356,11.58
Robby Tokuoka,14016421,99.49
Claudia Owen,14016606,22.22
Antonio Bischoff,14016824,48.72
Louis Marino,14016848,32.58
Brian Betancourt,14016902,90.72
Marline Mieczkowski,14017347,81.92
Pam Vierra,14017389,51.0
Marvin Langer,14017435,11.54
Justin Curry,14017479,24.98
Luis Ives,14017855,19.83
Jeffrey Escobedo,14018148,22.91
Bruce Rickert,14018244,69.04
Lilia Ramsdell,14018314,21.1
Ronald Bergen,14018371,33.47
Toni Levi,14018401,17.4
Chad Knight,14018497,18.16
Ursula Rasnake,14018865,52.75
Henry Spikes,14018966,10.77
Monique Richard,14019031,41.58
Georgianna Stachowicz,14019042,15.35
Joanne Geis,14019111,99.24
Willie Metcalf,14019134,36.55
Bobby Key,14019293,7.99
Kayla Paynter,14019484,17.83
Tony Cedeno,14019556,65.72
Nina Faria,14019807,28.79
Alejandra Luppino,14019982,50.29
Lorraine Pasquale,14020285,37.47
Allen Towns,14020472,89.12
Ted Yetman,14020526,90.99
Beth Killebrew,14020680,64.81
Shayna Defenderfer,14021098,50.1
Russell Piatt,14021181,2.78
Mabel Maness,14021394,14.96
Bryan Reiff,14021600,79.91
Corey Sova,14021672,42.77
Tania Pantano,14021771,96.94
